,0,1,2,3
0,35.139278,136.853777,焼鳥屋 鳥貴族 高畑店,焼鳥
1,35.139655,136.853148,無添くら寿司 名古屋高畑店,回転寿司
2,35.138483,136.853785,茶房 那古屋 ,カフェ
3,35.138384,136.853833,南欧料理バル TAPAS ,バル
4,35.138872,136.854560,BoiBoi ,ピザ
5,35.138130,136.853268,GORU ,ちりとり鍋
6,35.137955,136.853321,あかり ,喫茶店
7,35.140719,136.853589,ちょいから ,和風居酒屋
8,35.140061,136.855082,ハイリー ,喫茶店
9,35.137572,136.853926,DOWNTOWN ,ダイニングバー
10,35.148543,136.853551,や台ずし 八田駅前町,本格寿司職人の居酒屋
11,35.149948,136.852751,スタミナとん ,ホルモン
12,35.147885,136.852885,魚どころ 大善 ,海鮮料理・会席料理
13,35.147857,136.853601,イブ ,カラオケ
14,35.149913,136.852468,村さ来 八田店,和風居酒屋
15,35.149668,136.852026,梅八 ,居酒屋
16,35.150287,136.852498,玉清 ,居酒屋
17,35.147751,136.854509,旬彩 天ぷら 心来 ,天ぷら
18,35.150126,136.851918,歌志軒 八田店 ,ラーメン
19,35.150126,136.851918,嬉嬉屋 ,お好み焼き
20,35.158456,136.854195,旬菜 大前 ,割烹
21,35.158303,136.854562,串カツ おばんざい 小力 ,居酒屋
22,35.157981,136.854164,味盛苑 ,中華料理
23,35.158085,136.854906,桜咲串 陣屋 ,桜咲串揚げとおでんの店
24,35.158086,136.854892,リビエール ,バー
25,35.157989,136.854884,とさかや 岩塚店,大人の炭焼き空間
26,35.158128,136.853664,ふる里 ,居酒屋
27,,,支留比亜珈琲店 岩塚店 ,カフェ
28,,,萬来軒 ,ラーメン
29,35.157437,136.854665,居楽屋白木屋 岩塚駅前店,洋風居酒屋
30,35.167935,136.855111,カラオケ バンバン BanBan 中村公園駅前店 ,カラオケ
31,35.168157,136.855128,マンガ インターネットカフェコミックステーション ,マンガ・漫画喫茶
32,35.168166,136.855408,太平楽 ,焼肉
33,35.168127,136.855569,お好み軒 ,お好み焼き
34,35.168013,136.855872,力パスタ ,パスタ
35,35.167188,136.855375,Nonna ,パスタ
36,35.167183,136.855370,歌志軒 中村公園駅前店 ,ラーメン
37,35.168216,136.854328,喫茶たか ,喫茶店
38,35.168145,136.855911,中国料理　藤一番らーめん 中村店 ,激うま！人気ラーメン店
39,35.167021,136.855164,mister Donut 中村公園 ショップ ,スイーツ
40,35.171868,136.862158,TULLY’S COFFEE 名古屋第一赤十字病院店 ,カフェ
41,35.172904,136.861213,珠扇 ,居酒屋
42,35.173076,136.861213,K ,喫茶店
43,35.173493,136.862563,焼肉 Kenari ,焼肉＆韓国料理
44,35.171071,136.860466,tori cafe ,イタリアン
45,35.172271,136.863910,いざかや萩 ,居酒屋
46,35.172271,136.863910,TAHARAYA ,沖縄料理
47,35.173024,136.863830,ぴんぴん亭 ,焼肉
48,35.173879,136.863044,コメダ珈琲店 鳥居通店 ,カフェ
49,35.170380,136.862397,抹茶処 天庵 ,和菓子
50,35.177212,136.866938,焼鳥屋 鳥貴族 本陣店,焼鳥
51,35.176965,136.866621,香林 ,中華料理
52,35.177398,136.866374,馬府 ,中華料理
53,35.177154,136.866049,居酒屋 むらさき ,居酒屋
54,35.176518,136.866818,炭火焼 八剣伝 本陣店 ,居酒屋
55,35.177007,136.866007,カラオケ CHIKARA 本陣駅前店 ,カラオケ
56,35.177773,136.866424,めしや 宮本むなし 地下鉄本陣駅前店,めしや・定食
57,35.176943,136.865682,リサ ,喫茶店
58,35.177854,136.865874,Kのキンパ ,韓国料理
59,35.176329,136.865846,TURKISHTASTE ,トルコ料理
60,35.177375,136.875968,漫ろ ,馬刺しと梅酒
61,35.177386,136.875875,いちゃりばねーねー 焼とり 前佛 亀島店,沖縄ムードの焼鳥屋
62,35.177390,136.875815,亀島酒房 なご壱 ,居酒屋
63,35.177249,136.875798,亀島もんじゃ ,もんじゃ焼き
64,35.176515,136.877040,炭火焼肉 韓国家庭料理 秀望 ,焼肉
65,35.176988,136.875540,仙石ずし 亀島店 ,寿司屋
66,35.176913,136.875537,いとう ,とんかつ
67,35.178373,136.875526,カフェムーン ,カフェ
68,35.175954,136.876620,口福笑味 ,居酒屋
69,35.177410,136.874679,ダイニングヒロ ,創作料理
70,35.170408,136.881783,てつえもん ,親子丼・やきとり
71,35.170870,136.881183,マクドナルド JR名古屋駅店,ハンバーガー
72,35.170160,136.881390,驛釜きしめん ,きしめん
73,35.170842,136.882741,名古屋らーめん なご家 ,名古屋らーめん
74,35.170842,136.882741,札幌らーめん ほくと亭 ,札幌ラーメン
75,35.170705,136.882545,メゾン カイザー JR名古屋高島屋店 ,サンドイッチ・パン屋
76,35.170705,136.882545,BOUL’ANGE JR名古屋高島屋店 ,サンドイッチ・パン屋
77,35.170705,136.882545,糖朝 名古屋店 ,中華料理
78,35.170705,136.882545,味仙 JR名古屋駅店 ,台湾料理
79,35.170705,136.882545,スパゲティハウス チャオ JR名古屋駅新幹線口店 ,パスタ
80,35.169489,136.897771,鯱市 錦通伏見店 ,カレーうどん
81,35.169556,136.897755,Bo‐ban ,イタリアン
82,35.169561,136.897754,横浜家系ラーメン 侍 伏見店 ,ラーメン
83,35.169042,136.897832,街かど屋 錦通伏見店 ,食堂・定食
84,35.168942,136.897066,ダンディダンディ ,バー
85,35.168942,136.897066,上海美食 ,上海料理
86,35.168913,136.897776,マイペンライ ,タイ料理レストラン
87,35.169024,136.896955,しゃなりしゃなり ,個室／居酒屋／八海山
88,35.169031,136.896944,しゃれこぞう（酒楽呑僧） ,居酒屋
89,35.169595,136.897871,焼鳥ダイニング dice（ダイス） 伏見駅,焼鳥 ワイン 屋酒屋
90,,,想吃担担面 栄店 ,担々麺
91,,,京風スパゲッティー先斗入ル 栄店 ,パスタ
92,35.170336,136.907456,焼肉じゃんじゃん亭 栄店 ,焼肉
93,35.170689,136.907751,洋食厨房 mugi ,洋食屋
94,35.170689,136.907751,THE CURRAGH IRISHPUB ,パブ
95,35.170689,136.907751,カモシヤ ,ワインバー
96,35.170689,136.907751,BAR PARTAGE ,バー
97,35.170689,136.907751,小梅 ,小料理
98,35.170718,136.907789,Cafe trois ,栄駅近くの夜カフェ
99,35.170342,136.907128,魚菜家 旬蔵 栄店,大人の居酒屋
100,35.171025,136.920475,カサブランカ ,インド料理
101,35.171059,136.920567,魚甚 ,海鮮料理
102,35.171286,136.920281,Wine Bar La Fete ,ワインバー
103,35.171286,136.920281,CAFETTERIA TOPE ,カフェ
104,35.171286,136.920281,フランス料理 壺中天 ,フレンチ
105,35.170634,136.921222,スターバックスコーヒー 新栄葵町店 ,カフェ
106,35.170033,136.920196,松屋 新栄店,牛めし・カレー・定食
107,35.170001,136.920100,アカンタレ Mamboland ,ダイニングバー
108,35.170001,136.920100,パセリ ,洋食屋
109,35.170001,136.920100,居酒屋 玄 ,居酒屋
110,,,日の出らーめん 千種分店 ,ラーメン
111,35.170080,136.931563,とりとり亭 千種駅前店,地鶏炭火焼居酒屋
112,35.170066,136.931573,アンナプルナ ,インド・ネパール料理
113,35.170079,136.931588,花がたみ ,そば
114,35.170079,136.931588,コメダ珈琲店 千種駅前店 ,カフェ
115,35.170079,136.931588,きんや ,お好み焼き
116,35.170068,136.929735,串揚げ秋 ,串揚げ
117,35.170074,136.929735,らーめん本郷亭 FC千種店 ,ラーメン
118,35.170026,136.931582,酒と肴のぬくもり宿 おふろ 千種店,千種駅近くの個室居酒屋
119,35.169526,136.931386,サブウェイ 千種駅前店,サンドイッチ
120,35.169627,136.937465,なか卯 今池店,牛丼・うどん・丼もの
121,35.169620,136.937465,かつ庵 今池店 ,とんかつ
122,35.169558,136.937332,ガスト 今池駅前店,ファミリーレストラン
123,35.170259,136.937029,南蛮家 ,バー
124,35.169676,136.937882,かくれんぼ ,食堂・定食
125,35.169676,136.937882,カラオケ オーディション ,カラオケ
126,35.169676,136.937882,今池 豆ねこ ,居酒屋
127,35.169676,136.937882,カラオケ喫茶再会 今池店 ,カラオケ
128,35.169573,136.936700,個室 さかなや道場 今池店,地魚専門店 個室 座敷
129,,,cafe de crie 地下鉄今池駅 ,カフェ
130,35.167354,136.946673,ピアソーレ ,カフェ
131,35.167354,136.946673,カフェローシャ ,カフェ
132,35.167354,136.946673,串カツ田中 池下店 ,串揚げ
133,35.167354,136.946673,FRUIT PARLOR KOBOYA フルーツパーラー弘法屋 池下店 ,スイーツ
134,35.167354,136.946673,若鯱家 パレマルシェ池下店 ,カレーうどん
135,35.168457,136.946664,La muto ,イタリアン
136,35.167965,136.945920,モスバーガー池下店 ,ハンバーガー
137,35.167965,136.945920,ヴィ ド フランス 池下店 ,サンドイッチ・パン屋
138,35.168487,136.946770,鮨米倉 ,寿司屋
139,35.168324,136.946164,家庭料理でんでん ,居酒屋
140,35.166348,136.953427,ビストロ坂 Tsukimi ,フランス料理
141,35.166266,136.953853,和菓子菓寮 ocobo ,和菓子
142,35.166941,136.953981,URA58 ,沖縄料理
143,35.166866,136.954113,焼肉一徳 覚王山店,極上黒毛和牛焼肉
144,35.167046,136.954089,CASK ,バー
145,35.166971,136.954200,モレーキ 覚王山店 ,喫茶店
146,35.166971,136.954200,いた家 ,居酒屋
147,35.166871,136.954578,cesta ,カフェ
148,35.166871,136.954578,のらり ,居酒屋
149,35.166871,136.954578,エイティセブン ,喫茶店
150,35.164179,136.963775,我屋 ,魚串居酒屋
151,35.163519,136.963285,ドトールコーヒーショップ 本山店 ,カフェ
152,35.164005,136.963974,スターバックスコーヒー 本山駅前店 ,カフェ
153,35.164246,136.963785,CoCo壱番屋 千種区本山店,カレーハウス
154,35.163772,136.962888,ジャンカラ 本山駅前店 ,カラオケ
155,35.163686,136.962910,個室居酒屋 くいもの屋わん 本山店,和風創作 居酒屋
156,35.163751,136.962832,サイゼリヤ 本山駅前店,イタリア料理
157,35.163261,136.963387,Casual Bar Stand by Me ,カジュアルダイニングバ
158,,,ザ・どん 本山店 ,海鮮丼
159,35.163441,136.964013,コーヒースタンド スオミ ,カフェ
160,35.160699,136.973076,ビストロ ラシェット ,カジュアルフレンチ
161,35.160310,136.972540,なか卯 東山公園店,牛丼・うどん・丼もの
162,35.160686,136.973199,みよし ,お好み焼き
163,35.160552,136.972051,さっぽろ亭東山店 ,ラーメン店
164,35.160933,136.972424,東山珈琲館 ,コーヒー
165,35.160528,136.972043,居酒屋 誉 ,居酒屋
166,35.161050,136.972440,ドイツ料理 オストベルグ ,ドイツ料理
167,35.161050,136.972440,倉良四季 ,割烹
168,35.160956,136.972265,kokoti cafe ,カフェ
169,35.160522,136.971990,よりみち ,焼き鳥
170,35.162593,136.984903,CoCo壱番屋 千種区星ケ丘店,カレーハウス
171,35.162997,136.985011,cafe PONO＋ ,カフェ
172,35.162997,136.985011,Cafe pono ,カフェ
173,35.161739,136.984928,神戸屋ダイニング 星が丘テラス店 ,洋食屋
174,35.162681,136.984339,レアル 星ヶ丘店 ,焼き鳥
175,35.162349,136.985911,海鮮 居酒屋 磯ぎんちゃく 星ヶ丘店,海鮮・銘酒・天ぷら串
176,35.162818,136.984438,窯バル＆CUORE ,駅近のイタリアンバル
177,35.162314,136.986008,個室居酒屋 くいもの屋わん 星ヶ丘店,個室居酒屋
178,35.162335,136.986023,焼鳥屋 鳥貴族 星ヶ丘店,焼鳥
179,35.162335,136.986022,赤から鍋とセセリ焼 赤から 星ヶ丘店,赤から鍋とせせり焼
180,35.167902,136.995674,コメダ珈琲店 一社店 ,カフェ
181,35.168577,136.996618,モスバーガー一社駅前店 ,ハンバーガー
182,35.167453,136.995780,GEN ,喫茶店
183,35.168936,136.995249,お好み焼萬丸 ,お好み焼き
184,35.167586,136.996782,常楽飯店 一社店 ,中華料理
185,35.167609,136.996794,奥三河鶏の焼鳥居酒屋我楽多文庫（がらくたぶんこ） 一社店,一社個室居酒屋貸切宴会
186,35.167366,136.995388,鉄板焼 市虎 ,鉄板焼き
187,35.167366,136.995388,上々 ,串焼き
188,35.169233,136.995244,LITRE ,カフェ
189,35.169233,136.995244,Gully Studio ,バー
190,35.174352,137.007453,おぎ野 ,食堂・定食
191,35.173083,137.006468,恵り家 ,居酒屋
192,35.173083,137.006468,Bar＆Cafe Junk Box ,ダイニングバー
193,35.174363,137.006395,サロック ,喫茶店
194,35.174474,137.006514,パイパティローマ ,沖縄料理
195,35.174474,137.006514,だが屋 上社店 ,居酒屋
196,35.173963,137.008276,ザめしや 上社店 ,食堂・定食
197,35.174488,137.007909,浜よし ,食堂・定食
198,35.174591,137.007762,四川省 ,四川料理
199,35.174847,137.007817,うたげ寿司 ,寿司屋
200,35.175458,137.013514,ヴィ ド フランス 本郷店 ,サンドイッチ・パン屋
201,35.175053,137.013461,焼鳥と日本酒 炙りの景虎 ,藤が丘・本郷焼鳥と宴会
202,35.175047,137.013461,ビシュヌ ,インド料理
203,35.175047,137.013461,萬珍飯店 本店 ,中華料理
204,35.175748,137.012939,huver．by恵比寿楽園テーブル ,カフェ＆ダイニング
205,35.174916,137.012828,ARMADILLO ,バー
206,35.175095,137.012561,京・おばんざい 素 ,京風居酒屋
207,35.175088,137.012561,焼き肉 とよ松 ,焼肉
208,,,焼肉きんこんかん ,焼肉
209,,,コメダ珈琲店 本郷駅前店 ,カフェ
210,35.182585,137.021516,一口茶屋鯛焼総家 藤が丘駅店 ,和菓子
211,35.182401,137.021798,嘉文 藤が丘店,活魚料理
212,35.182389,137.021823,サイゼリヤ 名古屋藤が丘effe店,イタリア料理
213,35.182382,137.021824,石釜ごころ 藤が丘店 ,サンドイッチ・パン屋
214,35.182382,137.021824,スターバックスコーヒー 藤が丘effe店 ,カフェ
215,35.182871,137.021599,ミスタードーナツ 藤が丘ショップ ,カフェ
216,35.182707,137.022099,マクドナルド 藤ヶ丘店,ハンバーガー
217,35.182716,137.022032,ミスタードーナツ 藤が丘東ショップ ,スイーツ
218,35.181769,137.021448,月乃蔵 ,和風居酒屋
219,35.181752,137.021344,ジャンカラ 藤が丘駅前店 ,カラオケ
